 ,TOTAL,Country Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Algeria,Azerbaijan,Argentina,Australia,Armenia,Brazil,Belarus,Chile,China,Taiwan,Colombia,Cyprus,Ecuador,Estonia,Georgia,Palestine,Germany,Ghana,Haiti,Hong Kong,India,Iraq,Japan,Kazakhstan,Jordan,South Korea,Kuwait,Kyrgyzstan,Lebanon,Libya,Malaysia,Mexico,Morocco,Netherlands,New Zealand,Nigeria,Pakistan,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Singapore,Slovenia,South Africa,Zimbabwe,Spain,Sweden,Thailand,Trinidad and Tobago,Tunisia,Turkey,Ukraine,Egypt,United States,Uruguay,Uzbekistan,Yemen
No formal education,6,"16,6","0,4","0,6","0,5","0,3","0,6","0,5",2,"5,9","3,8",3,"0,8","0,9",0,0,"3,7","1,3","10,3","9,7","2,3","24,8","10,3",0,"0,2","4,9","1,9",1,"0,5","4,9","4,6","4,3","3,6","58,5","0,4","1,5","12,3",23,"2,5","2,2","0,1","4,8","1,2","0,1","13,4","7,2","0,5","2,4","0,7",1,"0,4","1,5","1,4","22,1","7,8",0,"19,9","0,4","0,6","0,3","39,8"
Incomplete primary school,6,"14,5","0,5","5,9","1,4","1,3","31,9",0,"6,4",0,"1,6","12,2","3,6","4,6","0,2","0,5","7,6",10,16,"11,8","4,3","9,4","9,7",0,"0,4",13,"2,8","3,3","2,7","3,3","6,6","3,7","11,2","10,4","2,7",0,"4,6",3,"6,6","11,5","1,4","5,6","2,4","0,3","9,4",10,"3,6","4,4","8,8","6,1",1,"3,6",6,"18,8","6,1","4,7","4,1","0,5","11,1",0,"15,1"
Complete primary school,"11,2","15,4","1,4","19,2","1,2","2,3","12,2",1,"5,9","19,5","10,2","11,8","11,8","15,8","1,8","0,7","8,4","23,1","28,3","11,5","9,7","11,8","19,4","11,7","1,3",15,"12,5","4,1","2,7","10,1","10,3","12,2","14,9","4,2","12,4","1,4","7,9","12,9",8,"17,2","16,2","6,4","6,7","1,2",12,"7,6",15,"6,1","6,7","44,3","8,6","48,8","25,6",9,30,0,"8,9","1,5","25,8","0,8","7,8"
Incomplete secondary school: technical/ vocational type,"7,8","4,6","1,9","6,7","17,2","5,8","0,8",0,"11,6",0,"0,6","5,4","7,5","21,5","7,6","1,5","9,3","5,5","11,8","23,6","13,6","13,7","10,8","1,3","4,2","10,2","4,1","4,3","5,3","7,4","8,7","12,3",5,"2,1","16,1",0,"11,9","23,3","10,8","7,7","26,6","2,6","2,6","4,9","12,6","10,5",4,"7,2","17,6",0,"1,8","3,5","13,6","8,9","3,1",0,"3,7",0,"18,8","8,4","4,2"
Complete secondary school: technical/ vocational type,"19,2","3,6","14,5","7,3","14,6","21,6","2,2","28,3","38,6","46,5","12,3","7,5","22,4","28,7","25,4","23,9","6,3",31,"14,9","19,4","22,3","14,4","7,6","11,1","37,2","10,3","6,5","9,9","16,3",9,"14,2",40,"23,8","1,5",21,0,"33,9",20,"26,6","11,5","20,5","6,2",19,"39,4","13,2","20,1","41,3","7,8","50,6","13,1","12,1","10,4","35,8","3,4","13,9","30,9","27,2",0,"11,5",38,"6,4"
Incomplete secondary school: university-preparatory type,"8,3","15,1","3,2","19,8","3,9","7,6",9,"5,2","4,7",0,4,"12,8","2,4","0,6","9,1","4,2","9,1","6,8","4,3","9,5","3,5","2,4","8,3","3,9","3,7","7,7","2,4","11,9","11,5","8,1","4,8",3,8,"9,5","6,6","24,9","6,1","1,8","7,5",8,"3,5","8,1","17,9","7,4","8,4","11,2","0,6","25,7","3,3","12,5",23,"2,6","3,5","13,4","4,6","4,9","1,7","11,2","11,7","35,9","3,9"
Complete secondary school: university-preparatory type,17,"10,5","61,4","27,3","6,9","29,4","25,9","21,4","10,8","16,5","23,1",20,"14,8","0,2","21,7","30,7","17,3","8,7",6,"10,6","14,9",10,"11,2","46,5","16,6","16,4","32,3","21,2",24,"17,4","10,2","12,1","14,6","9,9",5,"17,8","10,6","8,7","13,8","14,5","9,1","22,1","24,6","14,7","17,6","9,2","7,4","36,6","5,7",7,"19,8","9,7","5,2","10,6","20,2","26,5","8,8","30,6","8,4","2,3","7,7"
"Some university-level education, without degree","7,4","9,9","3,4","8,2","5,7","5,2","6,6","13,8","7,5",0,"6,1","12,2","5,4","16,1","12,9","2,4","18,5",1,"3,4",3,"7,2","2,7","9,7","1,4","6,5","10,2","11,3","16,5","7,3","20,2","11,8","6,7","5,6","1,5","23,4","21,6","7,5","2,1","11,1","14,5","4,6","9,9","8,8","5,8","5,8","3,4","10,4","4,8","2,8","8,4","12,9","1,1",4,"5,1","3,2","4,8","2,8","19,7","5,9",0,"6,3"
"University - level education, with degree","16,2","9,8","13,4","4,9","19,2",26,"10,3","29,8","12,5","11,6","38,3","14,2","31,4","11,6","21,2","36,1","19,8","11,7","4,9","0,8","22,1","10,5","12,8",22,"29,8","12,2","26,3","24,8","29,5","18,1",28,"5,7","13,2","2,2","11,5","28,7","5,1","5,2",13,"12,8","17,8","34,2","15,9","25,9","7,7","19,9","16,7","4,2","3,8","7,2","18,6","17,2","4,7","8,6","11,1","28,3",23,"36,1","6,1","14,2","8,6"
"AU: Inapplicable (No-school education) DE,SE:Inapplicable ; SG: Refused; ZA:Other; Missing","0,5",0,0,0,"25,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,9",0,"0,8",0,0,"0,4",0,0,0,0,0,0,0,0,0,0
No answer,"0,3","0,1",0,0,"4,1","0,3","0,5",0,0,0,0,"1,1",0,0,0,0,0,"0,7",0,0,0,"0,2",0,0,0,0,0,"2,5","0,1",0,"0,1",0,"0,1","0,1","0,9",4,0,0,0,0,"0,3",0,"0,9","0,5",0,0,"0,6",0,0,"0,5","1,1","1,5",0,0,0,0,0,0,"0,1",0,0
Don´t know,"0,1",0,0,0,0,0,"0,1",0,0,0,"0,1",0,0,0,0,0,0,"0,1",0,"0,1",0,0,"0,2","2,2",0,0,0,"0,6",0,"1,5","0,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,0,"0,2",0,"0,1","0,1",0,0,0,0,0,0,"0,2"
Other+Sysmis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(N),"89,567","1,2","1,002","1,03","1,477","1,1","1,486","1,535",1,"2,3","1,238","1,512",1,"1,202","1,533","1,202",1,"2,046","1,552","1,996",1,"4,078","1,2","2,443","1,502","1,2","1,2","1,303","1,5","1,2","2,131","1,3",2,"1,2","1,902",841,"1,759","1,2","1,21","1,2",966,"1,06","1,503","2,5","1,527","1,972","1,069","3,531","1,499","1,189","1,206","1,2",999,"1,205","1,605","1,5","1,523","2,232",1,"1,5",1
